worker_request_id,number_of_workers,employer_id,project_id,start_date,created_at,archived_at,pay_range_min,pay_range_max
364,20,785,450,"May 27, 2022","May 20, 2022, 9:38 PM",,"1,400","1,700"
365,4,1132,395,"May 24, 2022","May 23, 2022, 3:25 PM",,"1,800","2,200"
363,6,1101,336,"May 23, 2022","May 20, 2022, 3:55 PM",,"1,800","2,300"
361,20,1165,448,"May 23, 2022","May 20, 2022, 2:15 PM",,"2,200","2,700"
362,1,1166,449,"May 23, 2022","May 20, 2022, 2:29 PM",,"2,200","2,600"
360,1,1160,441,"May 23, 2022","May 19, 2022, 3:02 PM",,"2,000","2,300"
358,1,1163,446,"May 19, 2022","May 18, 2022, 3:20 PM",,"2,800","3,300"
357,2,1134,399,"May 19, 2022","May 17, 2022, 7:26 PM","May 20, 2022, 2:43 PM","1,800","2,100"
359,1,1164,447,"May 19, 2022","May 18, 2022, 8:32 PM",,"2,100","2,400"
356,2,1157,445,"May 19, 2022","May 17, 2022, 2:14 PM",,"2,100","2,800"
352,1,1162,444,"May 18, 2022","May 16, 2022, 7:17 PM","May 23, 2022, 3:31 PM","2,200","2,500"
355,1,1102,371,"May 18, 2022","May 17, 2022, 1:39 PM","May 18, 2022, 9:12 PM","1,800","2,100"
351,2,1161,443,"May 17, 2022","May 16, 2022, 3:28 PM",,"1,800","2,100"
353,2,966,187,"May 17, 2022","May 16, 2022, 8:30 PM",,"1,700","1,900"
354,1,966,187,"May 17, 2022","May 16, 2022, 8:31 PM",,"2,100","2,400"
342,1,1093,438,"May 16, 2022","May 9, 2022, 8:50 PM",,"2,100","2,500"
347,1,1101,336,"May 16, 2022","May 11, 2022, 3:33 PM",,"1,800","2,100"
350,1,978,385,"May 16, 2022","May 12, 2022, 3:22 PM",,"2,200","2,700"
345,2,707,51,"May 13, 2022","May 10, 2022, 6:38 PM","May 10, 2022, 6:38 PM","1,600","2,100"
349,2,1129,378,"May 13, 2022","May 12, 2022, 2:34 PM",,"1,800","1,900"
348,1,1102,442,"May 12, 2022","May 11, 2022, 7:19 PM","May 18, 2022, 9:12 PM","1,800","2,100"
346,2,1160,441,"May 11, 2022","May 10, 2022, 6:44 PM","May 13, 2022, 3:34 PM","2,600","2,800"
341,1,1128,437,"May 10, 2022","May 9, 2022, 4:49 PM",,"2,100","2,300"
338,2,1102,371,"May 10, 2022","May 6, 2022, 7:43 PM","May 16, 2022, 9:15 PM","1,800","2,300"
343,1,1132,439,"May 10, 2022","May 9, 2022, 9:33 PM",,"2,600","3,200"
344,1,1132,440,"May 10, 2022","May 10, 2022, 2:32 AM",,"1,800","2,300"
340,1,1159,436,"May 9, 2022","May 6, 2022, 8:05 PM",,"2,200","2,500"
339,1,1159,436,"May 9, 2022","May 6, 2022, 8:03 PM",,"2,800","3,200"
336,1,1058,434,"May 5, 2022","May 4, 2022, 12:45 PM",,"1,800","2,300"
337,1,1156,435,"May 5, 2022","May 4, 2022, 12:55 PM",,"1,800","2,100"
335,2,1058,433,"May 4, 2022","May 4, 2022, 12:32 PM","May 10, 2022, 7:24 PM","1,800","2,400"
334,1,1134,432,"May 2, 2022","April 29, 2022, 7:00 PM",,"1,800","2,100"
331,1,1058,389,"May 2, 2022","April 29, 2022, 6:10 PM","May 4, 2022, 8:38 PM","2,000","2,400"
333,3,708,431,"May 2, 2022","April 29, 2022, 6:38 PM","May 23, 2022, 2:33 PM","1,200","1,400"
332,1,1058,396,"May 2, 2022","April 29, 2022, 6:11 PM","May 4, 2022, 8:45 PM","2,000","2,300"
301,4,1132,395,"May 2, 2022","April 19, 2022, 2:43 PM","May 16, 2022, 9:15 PM","1,800","2,300"
314,1,1134,401,"April 28, 2022","April 26, 2022, 8:13 PM",,"1,800","2,100"
313,1,776,400,"April 27, 2022","April 26, 2022, 6:56 PM","April 28, 2022, 5:58 PM","3,000","3,400"
312,2,776,400,"April 27, 2022","April 26, 2022, 6:55 PM","April 28, 2022, 5:59 PM","2,800","3,200"
311,1,1127,392,"April 26, 2022","April 25, 2022, 1:04 PM","April 26, 2022, 8:47 PM","2,700","3,000"
307,5,1123,365,"April 25, 2022","April 21, 2022, 8:46 PM","May 5, 2022, 8:02 PM","2,800","3,200"
310,1,1134,399,"April 25, 2022","April 22, 2022, 5:05 PM",,"2,700","3,200"
305,5,1123,365,"April 25, 2022","April 21, 2022, 2:51 PM","April 26, 2022, 9:21 PM","1,900","2,300"
308,1,785,397,"April 25, 2022","April 21, 2022, 11:57 PM","May 2, 2022, 3:47 PM","2,800","3,200"
309,1,978,398,"April 25, 2022","April 22, 2022, 3:52 PM","May 3, 2022, 4:39 PM","1,400","1,800"
306,1,1058,396,"April 22, 2022","April 21, 2022, 7:01 PM","April 21, 2022, 9:15 PM","2,700","3,000"
304,1,1058,396,"April 21, 2022","April 20, 2022, 3:17 PM","May 6, 2022, 2:55 PM","1,800","2,400"
293,1,1058,389,"April 20, 2022","April 12, 2022, 4:20 PM","May 2, 2022, 8:05 PM","1,800","2,200"
303,1,1058,389,"April 20, 2022","April 19, 2022, 3:35 PM","April 21, 2022, 9:15 PM","1,800","2,400"
302,1,1058,396,"April 20, 2022","April 19, 2022, 2:45 PM","April 21, 2022, 9:15 PM","1,800","2,400"
299,1,1134,393,"April 19, 2022","April 18, 2022, 4:11 PM",,"3,000","3,300"
300,1,1102,394,"April 19, 2022","April 18, 2022, 8:03 PM","April 21, 2022, 9:25 PM","1,700","2,200"
297,2,1127,392,"April 18, 2022","April 14, 2022, 7:26 PM","April 25, 2022, 9:11 PM","2,100","2,300"
298,1,1127,392,"April 18, 2022","April 14, 2022, 7:30 PM","April 21, 2022, 12:37 PM","2,700","3,000"
296,3,1132,388,"April 15, 2022","April 12, 2022, 6:43 PM",,"2,700","3,100"
294,1,1058,390,"April 13, 2022","April 12, 2022, 4:23 PM","April 13, 2022, 8:59 PM","1,800","2,300"
295,1,1058,391,"April 13, 2022","April 12, 2022, 4:26 PM","April 13, 2022, 8:59 PM","1,600","1,800"
281,2,1128,377,"April 11, 2022","April 4, 2022, 12:41 PM","April 25, 2022, 2:11 PM","1,800","2,100"
292,1,1131,386,"April 11, 2022","April 7, 2022, 3:22 PM",,"1,400","1,800"
280,1,1128,377,"April 11, 2022","April 4, 2022, 12:39 PM","May 9, 2022, 4:44 PM","2,800","3,100"
284,10,1130,380,"April 11, 2022","April 4, 2022, 2:56 PM",,"2,700","3,100"
285,10,1130,380,"April 11, 2022","April 4, 2022, 3:38 PM",,"1,800","2,400"
290,2,978,385,"April 7, 2022","April 6, 2022, 4:25 PM",,"2,200","2,800"
291,3,708,384,"April 7, 2022","April 6, 2022, 4:39 PM","May 19, 2022, 2:24 PM","1,900","2,300"
289,1,1102,371,"April 6, 2022","April 5, 2022, 4:13 PM","April 12, 2022, 7:02 PM","2,000","2,300"
286,2,1058,381,"April 6, 2022","April 4, 2022, 5:08 PM","April 21, 2022, 4:41 PM","1,800","2,200"
287,2,1058,382,"April 6, 2022","April 4, 2022, 5:11 PM","April 21, 2022, 4:42 PM","1,800","2,200"
288,1,1102,383,"April 6, 2022","April 4, 2022, 8:54 PM","April 15, 2022, 7:59 PM","1,800","2,300"
283,2,1129,378,"April 5, 2022","April 4, 2022, 1:14 PM",,"1,800","2,000"
282,1,966,187,"April 5, 2022","April 4, 2022, 1:10 PM",,"2,000","2,400"
276,3,1127,374,"April 4, 2022","March 29, 2022, 7:01 PM","April 21, 2022, 4:38 PM","1,700","2,400"
278,3,1127,376,"April 4, 2022","March 29, 2022, 7:07 PM","April 5, 2022, 8:42 PM","1,700","2,400"
277,3,1127,375,"April 4, 2022","March 29, 2022, 7:04 PM","April 21, 2022, 4:36 PM","1,700","2,400"
237,1,773,333,"April 4, 2022","January 31, 2022, 9:46 PM","February 25, 2022, 9:57 PM","2,800","3,500"
279,1,1124,370,"April 4, 2022","April 1, 2022, 5:25 PM","April 5, 2022, 9:22 PM","1,800","2,400"
274,1,1102,371,"March 29, 2022","March 21, 2022, 8:06 PM","May 13, 2022, 7:39 PM","2,000","2,400"
273,1,934,369,"March 22, 2022","March 21, 2022, 2:32 PM","March 28, 2022, 2:11 PM","1,800","2,000"
272,2,1124,370,"March 18, 2022","March 17, 2022, 4:09 PM","March 29, 2022, 2:15 PM","1,600","2,000"
271,1,934,369,"March 17, 2022","March 15, 2022, 9:35 PM","April 8, 2022, 9:27 PM","2,240","2,800"
269,1,1026,367,"March 16, 2022","March 14, 2022, 5:19 PM","April 20, 2022, 3:17 PM","2,000","2,500"
266,7,1123,365,"March 16, 2022","March 11, 2022, 3:35 PM","April 18, 2022, 6:13 PM","1,840","2,300"
267,3,1123,365,"March 15, 2022","March 11, 2022, 3:38 PM","April 18, 2022, 6:08 PM","2,480","3,100"
268,1,1100,366,"March 15, 2022","March 11, 2022, 7:23 PM","April 13, 2022, 9:06 PM","2,700","3,000"
270,2,782,368,"March 15, 2022","March 14, 2022, 9:25 PM","March 21, 2022, 2:17 PM","1,520","1,900"
265,2,1026,364,"March 9, 2022","March 8, 2022, 3:56 PM",,"1,920","2,400"
258,1,1101,342,"February 28, 2022","February 24, 2022, 3:04 PM","March 28, 2022, 2:06 PM","1,600","2,000"
235,2,1091,331,"February 28, 2022","January 31, 2022, 6:47 PM",,"2,560","3,200"
254,1,776,299,"February 25, 2022","February 18, 2022, 8:59 PM","February 24, 2022, 7:17 PM","1,680","2,100"
253,3,776,299,"February 25, 2022","February 18, 2022, 8:58 PM","March 1, 2022, 3:37 PM","1,120","1,400"
255,2,1102,341,"February 22, 2022","February 18, 2022, 9:30 PM","March 4, 2022, 3:19 PM","1,840","2,300"
256,1,1102,371,"February 22, 2022","February 18, 2022, 9:34 PM","April 15, 2022, 8:00 PM","2,640","3,300"
246,1,992,338,"February 21, 2022","February 15, 2022, 9:46 PM","March 14, 2022, 9:06 PM","1,760","2,200"
252,5,1093,340,"February 21, 2022","February 17, 2022, 9:55 PM","March 2, 2022, 3:37 PM","2,080","2,600"
249,5,1093,339,"February 21, 2022","February 17, 2022, 9:44 PM","March 2, 2022, 3:38 PM","2,080","2,600"
248,5,1093,339,"February 21, 2022","February 17, 2022, 9:44 PM","March 2, 2022, 3:39 PM","1,760","2,200"
247,5,1093,339,"February 21, 2022","February 17, 2022, 9:43 PM","March 2, 2022, 3:39 PM","1,280","1,600"
257,1,731,188,"February 21, 2022","February 18, 2022, 9:57 PM","March 9, 2022, 3:45 PM","1,200","1,500"
250,5,1093,340,"February 21, 2022","February 17, 2022, 9:50 PM","March 21, 2022, 9:21 PM","1,280","1,600"
251,5,1093,340,"February 21, 2022","February 17, 2022, 9:54 PM","April 5, 2022, 2:25 PM","1,760","2,200"
244,2,1101,336,"February 18, 2022","February 15, 2022, 4:37 PM",,"1,280","1,600"
245,2,1101,336,"February 18, 2022","February 15, 2022, 4:39 PM",,"1,600","2,000"
243,1,731,337,"February 15, 2022","February 15, 2022, 3:34 PM","March 10, 2022, 10:05 PM","1,280","1,600"
242,1,1100,335,"February 14, 2022","February 14, 2022, 4:56 PM","February 18, 2022, 3:41 PM","2,400","3,000"
241,1,1100,335,"February 14, 2022","February 10, 2022, 9:21 PM","February 14, 2022, 4:58 PM","2,400","3,000"
238,3,966,334,"February 14, 2022","February 7, 2022, 9:04 PM","March 9, 2022, 3:59 PM","1,680","2,100"
239,1,978,200,"February 10, 2022","February 9, 2022, 4:36 PM","April 21, 2022, 4:50 PM","1,600","2,000"
240,1,978,200,"February 10, 2022","February 9, 2022, 5:16 PM","February 14, 2022, 3:39 PM","1,600","2,000"
236,4,1093,332,"February 7, 2022","January 31, 2022, 8:55 PM","February 15, 2022, 8:55 PM","2,400","3,000"
233,3,707,51,"January 31, 2022","January 26, 2022, 5:26 PM","April 18, 2022, 10:19 PM","1,520","1,900"
206,6,929,303,"January 27, 2022","January 20, 2022, 6:06 PM","January 27, 2022, 9:54 PM","1,120","1,400"
234,1,773,107,"January 27, 2022","January 26, 2022, 9:57 PM","January 27, 2022, 10:03 PM","2,800","3,500"
232,3,929,147,"January 25, 2022","January 24, 2022, 3:58 PM","February 14, 2022, 3:40 PM","1,280","1,600"
205,2,1064,302,"January 24, 2022","January 19, 2022, 9:46 PM","February 17, 2022, 10:00 PM","1,280","1,600"
202,2,776,299,"January 19, 2022","January 17, 2022, 3:32 PM","March 9, 2022, 4:05 PM","1,280","1,600"
203,1,776,300,"January 19, 2022","January 18, 2022, 5:48 PM","March 9, 2022, 4:05 PM","1,440","1,800"
204,1,776,301,"January 19, 2022","January 18, 2022, 5:54 PM","March 9, 2022, 4:05 PM","1,200","1,500"
201,2,1058,298,"January 17, 2022","January 12, 2022, 4:24 PM","January 26, 2022, 3:39 PM","1,760","2,200"
275,1,1104,373,"January 14, 2022","March 28, 2022, 7:02 PM","March 28, 2022, 7:04 PM","1,800","2,100"
200,5,707,51,"January 11, 2022","January 10, 2022, 10:14 PM",,"1,280","1,600"
199,1,978,200,"January 10, 2022","January 6, 2022, 9:03 PM","January 19, 2022, 9:56 PM","1,520","1,900"
110,2,977,198,"January 3, 2022","December 1, 2021, 7:21 PM","January 28, 2022, 3:45 PM","1,920","2,400"
137,1,978,234,"January 3, 2022","December 15, 2021, 9:33 PM","January 19, 2022, 9:57 PM","2,240","2,800"
142,1,978,234,"January 3, 2022","December 15, 2021, 10:44 PM","January 19, 2022, 9:57 PM","1,680","2,100"
133,1,966,187,"January 3, 2022","December 14, 2021, 9:55 PM","January 13, 2022, 11:11 PM","1,840","2,300"
111,2,977,199,"January 3, 2022","December 1, 2021, 7:23 PM","January 28, 2022, 3:45 PM","1,920","2,400"
